,0,1
0,"[0.24737589061260223, 0.051463134586811066, -0.12604033946990967]","[-0.14139898121356964, 0.20566050708293915, 0.0794079601764679]"
1,"[0.9568851590156555, -0.07802149653434753, -0.15031136572360992]","[-0.06703909486532211, 0.0848928689956665, -0.09650969505310059]"
2,"[1.2751073837280273, -0.16294503211975098, -0.1699487864971161]","[-0.29095524549484253, 0.04263008385896683, -0.11444360762834549]"
3,"[1.2738873958587646, -0.19840557873249054, -0.11060990393161774]","[-0.19455252587795258, 0.1286165416240692, 0.2946443557739258]"
4,"[1.3706191778182983, -0.234548419713974, -0.0989074558019638]","[-0.10423249751329422, 0.0704478994011879, 0.48011595010757446]"
5,"[1.4296824932098389, -0.2876693904399872, -0.05980449914932251]","[-0.1738741397857666, 0.01852906495332718, -0.052225735038518906]"
6,"[1.3893963098526, -0.3227885067462921, -0.016002556309103966]","[-0.3789384365081787, 0.029682910069823265, 0.15011155605316162]"
7,"[1.5378628969192505, -0.3734462857246399, -0.0003472473472356796]","[-0.21044336259365082, 0.03658447787165642, 0.2871318757534027]"
8,"[1.7310653924942017, -0.4156348705291748, -0.03833020478487015]","[-0.5447723269462585, -0.26817721128463745, 0.032365068793296814]"
9,"[1.7308342456817627, -0.41678285598754883, -0.015872707590460777]","[-0.3838389813899994, -0.10671960562467575, 0.43991872668266296]"
10,"[1.9595379829406738, -0.4476388692855835, -0.06979230046272278]","[-0.5361970663070679, -0.1641799509525299, 0.22183433175086975]"
11,"[1.7928880453109741, -0.4321640729904175, -0.012647120282053947]","[-0.4489130973815918, 0.12827272713184357, 0.34734320640563965]"
12,"[1.7378497123718262, -0.44449639320373535, 0.021138397976756096]","[-0.4650479853153229, 0.1991698443889618, 0.4056239724159241]"
13,"[1.9841324090957642, -0.4902499318122864, -0.04139497131109238]","[-0.35298454761505127, -0.21693557500839233, -0.08302745968103409]"
14,"[1.9371105432510376, -0.5052387118339539, -0.0013012494891881943]","[-0.5836735963821411, -0.10404159128665924, -0.02461465820670128]"
15,"[2.028332471847534, -0.5078061819076538, -0.018229713663458824]","[-0.32426726818084717, -0.2204662263393402, 0.02125413343310356]"
16,"[2.1359832286834717, -0.5419702529907227, -0.02595817856490612]","[-0.3164939880371094, -0.11883415281772614, 0.1689782291650772]"
17,"[2.0282557010650635, -0.5237116813659668, 0.0009049195796251297]","[-0.2525559663772583, -0.07844807207584381, -0.20913466811180115]"
18,"[2.158468246459961, -0.5335538387298584, -0.035477280616760254]","[-0.2512670159339905, -0.06087947636842728, -0.003917102701961994]"
19,"[2.19913387298584, -0.5379063487052917, -0.05620201677083969]","[-0.11991046369075775, -0.3164481520652771, -0.07025188207626343]"
20,"[2.204728603363037, -0.5551806092262268, -0.02924594096839428]","[-0.34246405959129333, -0.19680751860141754, -0.1823304295539856]"
21,"[2.376899003982544, -0.5648751854896545, -0.08382142335176468]","[-0.18566331267356873, -0.15428781509399414, 0.13256531953811646]"
22,"[2.3702569007873535, -0.5199775099754333, -0.1297624260187149]","[-0.428959459066391, -0.08432716131210327, -0.2361382395029068]"
23,"[2.372504234313965, -0.5164980292320251, -0.13004174828529358]","[-0.34405508637428284, -0.16801699995994568, -0.38137924671173096]"
24,"[2.3867480754852295, -0.5318958163261414, -0.12072908878326416]","[-0.5307517647743225, -0.05622222647070885, 0.29450422525405884]"
25,"[2.333080768585205, -0.4913097023963928, -0.13242389261722565]","[-0.3011053502559662, -0.027373293414711952, 0.21484321355819702]"
26,"[2.372328519821167, -0.5028725266456604, -0.1341809183359146]","[-0.1305839717388153, -0.011355056427419186, 0.23988455533981323]"
27,"[2.4501495361328125, -0.5470686554908752, -0.13762356340885162]","[-0.416339248418808, -0.2757329046726227, 0.17446787655353546]"
28,"[2.402456283569336, -0.5493263006210327, -0.09200118482112885]","[-0.317792147397995, -0.07157357782125473, -0.148219496011734]"
29,"[2.3743948936462402, -0.5437402129173279, -0.09227941185235977]","[-0.48473361134529114, 0.017994403839111328, -0.09530851244926453]"
30,"[2.4690470695495605, -0.5646013617515564, -0.10395092517137527]","[-0.4216887652873993, 0.007751412224024534, 0.0897061675786972]"
31,"[2.420135021209717, -0.560901939868927, -0.08441425859928131]","[-0.3016498386859894, 0.01512684766203165, 0.3007827401161194]"
32,"[2.4641497135162354, -0.5429226756095886, -0.12416593730449677]","[-0.4890430271625519, -0.19955936074256897, 0.18714435398578644]"
33,"[2.4195985794067383, -0.5303860306739807, -0.11120685189962387]","[-0.5213330984115601, 0.05283644050359726, 0.22157233953475952]"
34,"[2.4599215984344482, -0.5538061857223511, -0.1084078699350357]","[-0.3521318733692169, 0.028221359476447105, 0.14238862693309784]"
35,"[2.472442388534546, -0.5537137389183044, -0.11901719868183136]","[-0.4020693004131317, -0.08934572339057922, 0.009759221225976944]"
36,"[2.462280511856079, -0.5294954180717468, -0.1353147029876709]","[-0.42002594470977783, -0.102145716547966, 0.15703721344470978]"
37,"[2.4492604732513428, -0.5026320815086365, -0.15764765441417694]","[-0.35173293948173523, -0.12314817309379578, 0.012106437236070633]"
38,"[2.378943681716919, -0.5262448787689209, -0.09943360090255737]","[-0.36288267374038696, 0.10316000878810883, 0.16659344732761383]"
39,"[2.3332479000091553, -0.5401349067687988, -0.07316865026950836]","[-0.3778752386569977, 0.19809815287590027, 0.18859201669692993]"
